,New Name,HSC,MPP,MEP,GMP
Neutrophils,Neutrophils,0.999792897,0.999792897,0.157031737,0.046425441
Erythroblasts,Erythroblasts,0.921929739,0.921929739,0.210855955,0.398290805
B Cells,B cell,0.9833547,0.9833547,0.900318864,0.921226086
Arteries,EC-Arteriar,0.488104758,0.488104758,0.998004661,0.998360929
Sinusoids,EC-Sinusoidal,0.313559016,0.313559016,0.990613161,0.897718755
Mesenchymal Stromal Cells,MSPC-Adipo,1,1,0.999999986,0.999833184
Mesenchymal Stromal Cells,MSPC-Osteo,1,1,0.999999986,0.999833184
CD8 T Cells,T cells,0.02029111,0.02029111,0.999384531,0.528846028
cDC,Dendritic cells,0.999999999,0.999999999,0.999236581,0.980984781
GMP,GMP,1,1,1,0.999981221
MEP,MEP,1,1,0.978287149,0.998903915
Monocytes/Macrophages,Monocytes,1,1,1,0.999832985
KLS,HSC,1,1,1,1
KLS,MPP,1,1,1,1
